Company name,WVB No,OSIRIS Identification Number,count_records,min_date,max_date
"BANCO DE HONDURAS, SA",HN43086,HN43086,6,2010-12-31,2015-12-31
"BANCO DE HONDURAS, SA",HN43086,HN53545,3,2013-12-31,2015-12-31
"BANCO DE HONDURAS, SA",HN43086,HNB2978,17,2000-12-31,2016-12-31
BANCO DE LA PRODUCCION SA - PRODUBANCO - GRUPO FINANCIERO PRODUCCION,30037LE,EC31574,2,2013-12-31,2014-12-31
BANCO DE LA PRODUCCION SA - PRODUBANCO - GRUPO FINANCIERO PRODUCCION,30037LE,EC49768,4,2011-12-31,2015-12-31
BANCO DE OCCIDENTE,30107LL,CO27881,8,2008-12-31,2015-12-31
BANCO DE OCCIDENTE,30107LL,CO30046,3,2013-12-31,2015-12-31
BANCO DE OCCIDENTE,30107LL,COA7A26,5,2011-12-31,2015-12-31
"BANCO DE OCCIDENTE, S.A.",HN33950,HN18944,3,2013-12-31,2015-12-31
"BANCO DE OCCIDENTE, S.A.",HN33950,HN33950,6,2010-12-31,2015-12-31
"BANCO DE OCCIDENTE, S.A.",HN33950,HNB2979,17,2000-12-31,2016-12-31
BANCO DE SABADELL SA,30124EE,ES22675,3,2013-12-31,2015-12-31
BANCO DE SABADELL SA,30124EE,ES23370,5,2011-12-31,2015-12-31
"BANCO DE VENEZUELA, S.A.C.A.",30059LV,VE30699,5,2011-12-31,2015-12-31
"BANCO DE VENEZUELA, S.A.C.A.",30059LV,VE53061,11,2005-12-31,2015-12-31
"BANCO DE VENEZUELA, S.A.C.A.",30059LV,VEA8C8F,13,2003-12-31,2015-12-31
BANCO DEL CARIBE CA - BANCARIBE,30061LV,VE42463,5,2011-12-31,2015-12-31
"BANCO DEL PAIS, SA",30009LH,HN15786,3,2013-12-31,2015-12-31
"BANCO DEL PAIS, SA",30009LH,HN38581,6,2010-12-31,2015-12-31
"BANCO DEL PAIS, SA",30009LH,HNAFABF,11,2000-12-31,2010-12-31
BANCO DI DESIO E DELLA BRIANZA SPA - BANCO DESIO,30063EI,IT20443,5,2011-12-31,2015-12-31
BANCO DI DESIO E DELLA BRIANZA SPA - BANCO DESIO,30063EI,IT41144,5,2011-12-31,2015-12-31
BANCO DI SARDEGNA SPA,30165EI,IT20453,5,2011-12-31,2015-12-31
BANCO DI SARDEGNA SPA,30165EI,IT21474,5,2011-12-31,2015-12-31
BANCO DO BRASIL S.A.,30172LB,BR41090,5,2011-12-31,2015-12-31
BANCO DO BRASIL S.A.,30172LB,BRA665F,16,2000-12-31,2015-12-31
BANCO DO ESTADO DE SERGIPE SA - BANESE,31208LB,BR13586,2,2013-12-31,2014-12-31
BANCO DO ESTADO DE SERGIPE SA - BANESE,31208LB,BR16277,3,2011-12-31,2015-12-31
BANCO DO ESTADO DE SERGIPE SA - BANESE,31208LB,BRAA4B3,16,2000-12-31,2015-12-31
BANCO DO ESTADO DO ESPIRITO SANTO S.A. - BANESTES,31203LB,BR45113,3,2012-12-31,2014-12-31
BANCO DO ESTADO DO ESPIRITO SANTO S.A. - BANESTES,31203LB,BRA7A65,16,2000-12-31,2015-12-31
BANCO DO ESTADO DO PARA SA - BANPARA,31308LB,BR16283,3,2011-12-31,2014-12-31
BANCO DO ESTADO DO PARA SA - BANPARA,31308LB,BR53393,2,2012-12-31,2015-12-31
BANCO DO ESTADO DO PARA SA - BANPARA,31308LB,BRAA514,16,2000-12-31,2015-12-31
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. BANRISUL,30206LB,BR45110,5,2011-12-31,2015-12-31
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. BANRISUL,30206LB,BRA66F3,17,2000-12-31,2016-12-31
BANCO DO NORDESTE DO BRAZIL S.A.,30044LB,BR31019,2,2014-12-31,2015-12-31
BANCO DO NORDESTE DO BRAZIL S.A.,30044LB,BR56902,3,2013-12-31,2015-12-31
BANCO DO NORDESTE DO BRAZIL S.A.,30044LB,BRA67D3,16,2000-12-31,2015-12-31
BANCO ESPIRITO SANTO SA,30030EP,PT22509,3,2013-12-31,2015-12-31
"BANCO EXTERIOR, C.A. - BANCO UNIVERSAL",30010LV,VE31029,5,2011-12-31,2015-12-31
BANCO FALABELLA PERU SA,30212LP,PE15746,5,2011-12-31,2015-12-31
BANCO FAMILIAR S.A.E.C.A,30012LY,PY11503,3,2013-12-31,2015-12-31
BANCO FINANCIERA CENTROAMERICANA - FICENSA,30017LH,HN16761,3,2013-12-31,2015-12-31
BANCO FINANCIERA CENTROAMERICANA - FICENSA,30017LH,HN32764,6,2010-12-31,2015-12-31
BANCO FINANCIERA CENTROAMERICANA - FICENSA,30017LH,HNB1E4D,16,2000-12-31,2016-12-31
BANCO FINANCIERA COMERCIAL HONDURENA - BANCO FICOHSA,30018LH,HN43620,6,2010-12-31,2015-12-31
BANCO FINANCIERA COMERCIAL HONDURENA - BANCO FICOHSA,30018LH,HNB1FB8,16,2000-12-31,2016-12-31
BANCO FINANCIERO DEL PERU,30203LP,PE19016,12,2004-12-31,2015-12-31
BANCO FINANCIERO DEL PERU,30203LP,PE34865,5,2011-12-31,2015-12-31
BANCO FINANCIERO DEL PERU,30203LP,PEA7964,16,2000-12-31,2015-12-31
BANCO FINANTIA SOFINLOC SA,ESA80762941,ES43672,5,2011-12-31,2015-12-31
BANCO G&T CONTINENTAL EL SALVADOR,30020LS,SV45227,4,2012-12-31,2015-12-31
BANCO G&T CONTINENTAL EL SALVADOR,30020LS,SVAFBC7,13,2002-12-31,2015-12-31
BANCO GNB PERU SA,30290LP,PE28942,6,2006-12-31,2015-12-31
BANCO HIPOTECARIO,30027LS,SV43957,5,2011-12-31,2015-12-31
BANCO HIPOTECARIO ACTIVO CA,VEJ080066227,VE49463,5,2011-12-31,2015-12-31
BANCO HIPOTECARIO SA,30058LA,AR18532,3,2013-12-31,2015-12-31
BANCO HIPOTECARIO SA,30058LA,AR37940,5,2011-12-31,2015-12-31
BANCO HIPOTECARIO SA,30058LA,ARA5827,16,2000-12-31,2015-12-31
BANCO HONDURENO DEL CAFE - BANHCAFE,30005LH,HN43088,6,2010-12-31,2015-12-31
BANCO HONDURENO DEL CAFE - BANHCAFE,30005LH,HN53547,1,2015-12-31,2015-12-31
BANCO INDUSVAL SA,31211LB,BR43950,5,2011-12-31,2015-12-31
BANCO INDUSVAL SA,31211LB,BRAF2E4,12,2004-12-31,2015-12-31
BANCO INTERAMERICANO DE FINANZAS SA - BIF,30201LP,PE33026,5,2011-12-31,2015-12-31
BANCO INTERNACIONAL DEL PERU - INTERBANK,30202LP,PE44780,5,2011-12-31,2015-12-31
BANCO ITAU BBA S.A.,BR17298092000130,BR31908,2,2014-12-31,2015-12-31
BANCO LAFISE HONDURAS SA,30022LH,HN49702,6,2010-12-31,2015-12-31
BANCO LAFISE HONDURAS SA,30022LH,HN53548,3,2013-12-31,2015-12-31
